@relation training_set

@attribute branch-load-misses numeric
@attribute branch-loads numeric
@attribute L1-dcache-load-misses numeric
@attribute branch-store-misses numeric
@attribute branch-stores numeric
@attribute dTLB-load-misses numeric
@attribute dTLB-loads numeric
@attribute iTLB-load-misses numeric
@attribute iTLB-loads numeric
@attribute L1-dcache-loads numeric
@attribute L1-dcache-store-misses numeric
@attribute L1-dcache-stores numeric
@attribute L1-icache-load-misses numeric
@attribute L1-icache-loads numeric
@attribute branch-misses numeric
@attribute bus-cycles numeric
@attribute cache-misses numeric
@attribute cache-references numeric
@attribute cpu-cycles numeric
@attribute instructions numeric
@attribute label {malware,benign}

@data

0,0,0,0,0,0,11796,704,119835,12197,1415,12197,0,0,0,53425660,223701,7259476,377266,51859,malware
289051,5916801,66175,283159,5880472,550857,8704410,19396,16148498,8946249,80501,8946249,47645,14398521,299151,50779155,91076,9279616,52543711,28210990,malware
0,0,0,0,0,0,0,0,0,14222,1533,14222,0,0,0,0,0,0,302525,22920,malware
310528,5838875,92753,320541,5903163,222111,8247752,15802,16604357,8233165,90411,8233165,44553,13094540,303971,56655963,93824,8278734,56748757,24460930,malware
0,0,0,0,0,0,7772,420,159466,0,0,0,0,0,0,0,0,0,0,0,malware
3819,73220,5721,4318,72148,17926,127529,2519,544877,129432,4829,129432,2730,239626,3610,2347091,5526,137083,2406135,393677,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369036,25805,malware
6300,33975,4483,4587,27587,6036,53182,2833,712957,57213,3806,57213,4672,116864,4587,0,0,0,1568205,162539,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190741,2711,45766,0,0,malware
516,1468,426,0,0,0,3522,234,153579,7635,756,7635,870,11114,650,0,0,0,0,0,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363042,397,4022,0,0,malware
4340,23893,3105,5019,27741,6405,52949,2827,694992,48752,2997,48752,5256,116783,4768,0,0,0,1239081,131136,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358440,3084,50754,0,0,malware
3960,23013,2777,4155,26775,5670,49650,2749,679135,45567,2807,45567,4226,122577,4425,0,0,0,1049151,128359,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351834,3166,51779,0,0,malware
3772,21901,2491,4086,24715,5827,48275,2736,652964,48902,3066,48902,4884,111637,4460,0,0,0,1245785,127802,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342313,2727,45507,0,0,malware
3619,21558,2226,4617,26476,6069,52450,2762,610896,43403,2379,43403,4845,109051,4453,0,0,0,1218801,133286,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443368,2760,49469,0,0,malware
290711,5931373,65788,298158,5975074,183571,8801128,22117,16686567,9029226,82477,9029226,44651,14401536,290396,48301175,90766,9329877,52791519,28339941,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312089,22407,malware
0,0,0,0,0,0,0,0,0,7747,943,7747,0,0,0,0,0,0,0,0,malware
306968,5856004,93892,313677,5890853,220563,8319069,16113,17195024,8227086,89078,8227086,64406,13386090,318603,56202765,93717,8312643,56809375,24429467,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363491,996,8450,0,0,malware
4215,73578,6051,3783,70650,17738,132354,2767,613211,130655,5133,130655,2748,233053,3580,3157775,5179,130969,2201931,406230,malware
4239,25497,2853,5404,31974,6507,57839,2838,749297,52634,3366,52634,4452,123153,4612,1744934,3831,56782,1847142,186597,malware
0,0,0,486,1374,311,0,0,0,11547,1012,11547,822,10778,566,240441,421,4031,239992,11747,malware
3865,22111,2557,4103,24655,5752,54202,2852,708794,51206,3388,51206,5644,132696,5169,1408520,3621,55482,1276408,138880,malware
4101,25346,2826,4616,27575,6091,46950,2758,625888,52834,3209,52834,3892,103432,3982,1351413,2901,49620,1207242,142724,malware
3790,22218,2648,4867,26780,6286,49718,2815,657872,47758,2910,47758,4216,101708,4100,1260061,2848,46495,1255432,138742,malware
3787,22086,2458,4013,24393,5691,51516,2746,660629,0,0,0,4013,108524,4115,1336710,3023,49044,1027048,144329,malware
0,0,0,0,0,0,0,0,0,45083,2562,45083,0,0,0,0,0,0,0,0,malware
2033925,12741423,765334,10363555,138139784,4162802,135291770,783629,126431504,110550062,2524995,110550062,16390230,322539976,13397836,479860882,2490548,109747955,180366612,71496861,malware
2540212,34330702,1131714,2134553,30828914,556952,81375288,210125,58641217,64900716,1010245,64928901,2843181,33562056,1901988,242373057,1141213,69325607,262929764,144845608,malware
1936562,15084406,640390,2743535,14860214,1267639,22443935,622744,144574445,21212893,795940,21247079,2284963,70829568,2783872,229172785,732729,26255672,310310498,71394347,malware
2947757,11333023,826217,2714987,13099467,1259943,20911747,686098,170660133,19609899,788830,19547528,1908023,62340190,2889724,332614580,890142,19643398,316865892,67997852,malware
3915615,24274870,1274433,3398755,25147882,1584393,37658407,1201007,234882290,39347029,1295722,39473185,1702283,66723890,3003929,439208647,1347487,38660237,451454790,122844802,malware
2873854,11262244,801140,1707704,15755001,734019,21233518,773800,181978733,19909931,826007,19889907,2647933,96361799,4018221,306557793,916122,21097807,291520835,66367886,malware
2766590,10653856,769725,1725996,14140490,687269,18579418,719260,171843785,18584614,786724,18478482,1616236,62994162,2877233,301758686,847491,19246427,289646372,65118200,malware
2888563,11251659,795971,2696117,11463001,1256183,17996454,712446,166900848,18295179,783184,18295179,1608979,64310042,2949904,288926626,811659,18681157,303402148,66242685,malware
2792670,10639580,775719,2323683,12516382,1027255,18221835,698119,167087257,18497304,790562,18497304,1579840,65176839,2956092,256951467,825935,19265086,289301456,65569496,malware
4224991,28177563,1529131,2788339,33600121,1098727,18180077,711311,162647274,19308393,789135,19308393,1516922,63423164,2880876,258167393,800790,18507233,460200202,150846123,malware
